unitid,pell_pct_of_cohort
100654,0.7635024549918167
100663,0.3377441713925646
100690,0.8333333333333334
100706,0.253411306042885
100724,0.7594433399602386
100751,0.1779885618635793
100830,0.5053003533568905
100858,0.1276815181518152
101116,0.7727272727272727
101189,0.6028880866425993
101435,0.47808764940239046
101453,0
101480,0.4397649363369246
101587,0.5284552845528455
101675,0.8888888888888888
101693,0.425531914893617
101709,0.42115768463073855
101879,0.43166089965397925
101912,0.5432835820895522
102049,0.10545454545454545
102094,0.4241114313160423
102234,0.327710843373494
102270,0.8405172413793104
102298,0.711864406779661
102368,0.38420107719928187
102377,0.3344887348353553
102553,0.2736842105263158
102580,0
102614,0.20089285714285715
102632,0.38571428571428573
102669,0.4722222222222222
104090,0.42857142857142855
104151,0.29778172138420583
104179,0.2582962218072116
104586,0.22837370242214533
104717,0.4221044045676998
105330,0.35951921013092936
105589,0.42857142857142855
105899,0.475
106245,0.5795454545454546
106306,0.875
106342,0.5446009389671361
106397,0.18737145207733444
106412,0.7507462686567165
106458,0.45640686922060764
106467,0.5276259866423801
106485,0.6935483870967742
106704,0.4637462235649547
106713,0.5352112676056338
106810,0.5714285714285714
107044,0.2474747474747475
107071,0.5712401055408971
107080,0.2608695652173913
107141,0.329608938547486
107512,0.30597014925373134
107558,0.430622009569378
107600,0.7941176470588235
107877,0.5158730158730159
107983,0.6059050064184852
108092,0.6163265306122448
108232,0.2539130434782609
109651,0.27011494252873564
109785,0.23865546218487396
110060,0.6271186440677966
110097,0.3006060606060606
110219,0.821917808219178
110361,0.44
110370,0.3
110404,0.10416666666666667
110413,0.2739495798319328
110422,0.158887987012987
110468,0.6363636363636364
110486,0.673778389538885
110495,0.6155737704918033
110510,0.6922554347826086
110529,0.45444277108433734
110538,0.46866791744840525
110547,0.7282780410742496
110556,0.650268589199887
110565,0.4781898763704222
110574,0.5445086705202312
110583,0.5142077744942032
110592,0.7120390455531453
110608,0.6400217509516042
110617,0.5504385964912281
110635,0.22994555353901996
110644,0.3368401277475108
110653,0.40683283946313403
110662,0.297335450855832
110671,0.5277570326114015
110680,0.259742716609913
110705,0.38842789863198024
110714,0.3603328710124827
111045,0
111081,0.19883040935672514
111188,0.2318181818181818
111948,0.15759312320916904
112075,0.3263473053892216
112084,0.4305555555555556
112260,0.1282798833819242
112394,0.45794392523364486
112570,0.4675324675324675
113582,0.16666666666666666
113698,0.2698412698412698
114813,0.4634146341463415
115409,0.11214953271028037
115755,0.5464285714285714
115773,1
116226,0.4
116846,0.375
117104,0.5277777777777778
117140,0.5139275766016713
117168,0.2716049382716049
117627,0.5387596899224806
117672,0
117751,0.22388059701492538
117946,0.1849112426035503
118693,0.40397350993377484
118888,0.39097744360902253
119173,0.6151202749140894
119270,0.10526315789473684
119605,0.10714285714285714
119775,0.48148148148148145
120184,0.45614035087719296
120254,0.2058252427184466
120403,0.3036649214659686
120537,0.5535714285714286
120838,0
120865,0.4678362573099415
120883,0.33083511777301927
121150,0.17852348993288591
121257,0.13108614232209737
121309,0.25418060200668896
121345,0.22807017543859648
121691,0.2829827915869981
122409,0.275882946518668
122436,0.13169845594913715
122506,0.3235294117647059
122597,0.49179122764028427
122612,0.2414885193982581
122728,0.3586206896551724
122755,0.39170922198858515
122931,0.08888888888888889
123165,0.08303249097472924
123280,0.25
123457,0.42528735632183906
123554,0.2276923076923077
123572,0.34565916398713825
123651,0.48247978436657685
123952,0.13793103448275862
123961,0.1726129799524295
124292,0.28205128205128205
124487,0.5
125727,0.168141592920354
125763,0.3235955056179775
125897,0.3826086956521739
126076,0.4666666666666667
126182,0.47802197802197804
126562,0.37715179968701096
126580,0.31855604813172894
126614,0.15836443290605226
126669,0.25142857142857145
126678,0.14776632302405499
126711,0.2571428571428571
126775,0.09970089730807577
126818,0.20485058466868775
126827,0.7514367816091954
127060,0.17526501766784452
127185,0.33044554455445546
127556,0.2875104777870914
127565,0.40609137055837563
127653,0.47368421052631576
127714,0
127741,0.35230084116773874
127918,0.24531835205992508
127945,0.6052631578947368
128106,0.4326797385620915
128328,0
128391,0.23922413793103448
128498,0.6268656716417911
128586,0
128744,0.5833333333333334
128771,0.37676842889054357
128902,0.17364016736401675
129020,0.1802356722013926
129154,0.8125
129215,0.34607438016528924
129242,0.12020725388601036
129525,0.3176954732510288
129534,0.2857142857142857
129774,0.4117647058823529
129941,0.2895377128953771
130183,0.5863192182410424
130226,0.14518674381904262
130253,0.1496124031007752
130314,0.33649289099526064
130493,0.40833932422717467
130590,0.12343470483005367
130624,0
130697,0.21796565389696168
130776,0.4481203007518797
130794,0.16593245227606462
130934,0.6042841037204059
130943,0.1349497918197404
130989,0.5267857142857143
131113,0.4024390243902439
131159,0.19505340078695896
131283,0.1404867256637168
131399,0.47572815533980584
131450,0.5730337078651685
131469,0.13936335403726707
131496,0.12148337595907928
131520,0.4805115712545676
131803,0.5
131876,0.8110599078341014
132408,0.34210526315789475
132471,0.580046403712297
132602,0.8192904656319291
132657,0.271484375
132842,1
132903,0.3245349022102083
133465,0.8571428571428571
133492,0.19008264462809918
133526,0.8823529411764706
133553,0.25396825396825395
133650,0.7108667529107374
133669,0.39736115372813746
133711,0.2967741935483871
133809,0.26842105263157895
133872,0.4791666666666667
133881,0.2111801242236025
133951,0.5169761273209549
133979,0.721763085399449
134079,0.2503617945007236
134097,0.2529079428381522
134130,0.2602274405553094
134237,0.6419783464566929
134510,0.8461538461538461
134945,0.35560344827586204
135081,0.5635103926096998
135726,0.11867704280155641
136172,0.2851351351351351
136215,0.31437598736176936
136330,0.27726432532347506
136774,0.4105960264900662
136950,0.2231237322515213
137032,0.43797856049004597
137272,0
137351,0.3579987387008619
137476,0.5412371134020618
137546,0.3510204081632653
137564,0.47347994825355755
137777,0.47368421052631576
137847,0.21635150166852057
137953,0.6515151515151515
137962,0.5
138275,0.6243654822335025
