rank_year,ipeds_id,school,grad_2023,grad_2024,grad_2025,grad_2026,retention_avg,pell_grad_2023,pell_grad_2024,pell_grad_2025,pell_grad_2026,nonpell_grad_2023,nonpell_grad_2024,nonpell_grad_2025,nonpell_grad_2026,pell_pct_2023,pell_pct_2024,pell_pct_2025,pell_pct_2026,pred_grad_2023,pred_grad_2024,pred_grad_2025,pred_grad_2026,peer_2025,peer_2026,sat_median,sat25_prior,sat75_prior,sat25_current,sat75_current,sat_submit_2023,sat_submit_prior,sat_submit_current,act_median,act25_prior,act75_prior,act25_current,act75_current,act_submit_2023,act_submit_prior,act_submit_current,grads_earning_more,student_faculty_ratio,pct_faculty_fulltime,edu_expend_per_student,citations_per_pub,fwci,pub_top5pct,pub_top25pct,total_papers_5yr,avg_faculty_salary,regional_price_parity,avg_federal_indebtedness,grad_avg4yr,adj_pell_2023,adj_pell_2024,adj_pell_2025,adj_pell_2026,avg_pell_grad,pell_grad_pctile,ratio_2023,ratio_2024,ratio_2025,ratio_2026,ratio_2023_capped,ratio_2024_capped,ratio_2025_capped,ratio_2026_capped,ratio_2023_adj,ratio_2024_adj,ratio_2025_adj,ratio_2026_adj,avg_ratio,pell_perf_pctile,financial_resources_pctile,grad_indebtedness_pctile,faculty_research_discount,citations_per_pub_disc,fwci_disc,pub_top5pct_disc,pub_top25pct_disc,faculty_salary_adj,sat_median_prior,sat_median_current,sat_pctile_prior,sat_pctile_current,act_median_prior,act_median_current,act_pctile_prior,act_pctile_current,sat_weight_prior,sat_weight_current,act_weight_prior,act_weight_current,satact_sum_current,satact_bonus_current,satact_sum_prior,satact_bonus_prior,satact_pctile_weighted,avg_six_yr_grad,retention,pell_grad_rate,pell_grad_perf,grad_rate_perf,peer_assessment,faculty_comp,pct_faculty_ft,satact,financial_resources,grad_indebtedness,citations_per_pub_f,fwci_f,pub_top5pct_f,pub_top25pct_f,z_avg_six_yr_grad,z_retention,z_pell_grad_rate,z_pell_grad_perf,z_grad_rate_perf,z_peer_assessment,z_faculty_comp,z_pct_faculty_ft,z_student_faculty_ratio,z_satact,z_financial_resources,z_grad_indebtedness,z_grads_earning_more,z_citations_per_pub,z_fwci,z_pub_top5pct,z_pub_top25pct,overall_sum_weighted_z,rescaled_sum,overall_score,overall_score_rounded,overall_rank
2026,186131,Princeton University,98.0,98.0,97,98,97,96.0,97.0,97.0,97.0,98.0,98.0,97.0,98.0,16.869300911854097,21.0,23.0,21.0,93.0,94.0,94,94,4.8,4.8,1540.0,1500.0,1580.0,1510.0,1580.0,57.0,57.0,56.0,34.0,34.0,35.0,34.0,35.0,20.0,20.0,21.0,91.0,5,87,188806,22,2.22,27.2,74.9,24798,228190,102.07,14382.0,97.75,112.8693009118541,118.0,120.0,118.0,117.21732522796353,0.9948186528497409,0.9795918367346939,0.9897959183673469,1.0,0.9897959183673469,0.9795918367346939,0.9897959183673469,1.0,0.9897959183673469,1.1482848458532349,1.199795918367347,1.23,1.199795918367347,1.194469170646982,0.6327944572748267,0.9861431870669746,0.0898876404494382,1.0,22.0,2.22,27.2,74.9,223562.26119329873,1540.0,1540.0,99.0,99.0,34.0,34.0,99.0,99.0,0.7402597402597403,0.7272727272727273,0.2597402597402597,0.2727272727272727,77.0,1.54,77.0,1.54,100.54,97.75,97.0,0.9948186528497409,0.6327944572748267,1.04269617936399,4.8,223562.26119329873,87,100.54,0.9861431870669746,0.0898876404494382,22.0,2.22,27.2,74.9,2.011867066095898,1.581170578338312,1.8105224000566826,0.4589595905471988,0.3664573331567838,2.8529718081435047,4.034504250003119,1.4029399750081808,2.2243561747772715,1.2958425839140373,1.680173561458279,1.4166972549759316,0.901409603553217,2.0273499056167834,1.8760931701174188,1.929353614545843,1.4963056616196553,1.8605580636025765,3.193313973898455,100.0,100.0,1.0
2026,166683,Massachusetts Institute of Technology,96.0,95.0,96,96,99,93.0,91.0,93.0,93.0,97.0,96.0,97.0,97.0,15.73236889692585,16.0,20.0,19.0,95.0,95.0,95,96,4.8,4.8,1550.0,1510.0,1580.0,1520.0,1580.0,83.0,83.0,83.0,35.0,34.0,36.0,34.0,36.0,31.0,31.0,29.0,95.0,3,80,244831,26,2.41,32.9,73.4,55219,227143,111.574,14419.0,95.75,108.73236889692585,107.0,113.0,112.0,110.18309222423146,0.9689119170984456,0.9587628865979382,0.9479166666666666,0.9587628865979382,0.9587628865979382,0.9587628865979382,0.9479166666666666,0.9587628865979382,0.9587628865979382,1.1160865755671967,1.1079166666666667,1.1587628865979382,1.1487628865979382,1.132882253857435,0.4457274826789838,0.9976905311778291,0.09269662921348315,1.0,26.0,2.41,32.9,73.4,203580.5832900138,1540.0,1550.0,99.0,99.0,35.0,35.0,99.0,99.0,0.7280701754385965,0.7410714285714286,0.2719298245614035,0.25892857142857145,112.0,2.24,114.0,2.2800000000000002,101.24,95.75,99.0,0.9689119170984456,0.4457274826789838,1.0052631578947369,4.8,203580.5832900138,80,101.24,0.9976905311778291,0.09269662921348315,26.0,2.41,32.9,73.4,1.8865172430912094,1.778504304002964,1.7157306513626156,-0.18757478918015963,0.019407080521049825,2.8529718081435047,3.3588578569255474,1.0290031752121769,2.674202670515079,1.3406814307363328,1.7200826721817537,1.406993849119932,1.5901627161273308,2.599091404520849,2.1364505329991434,2.56780633524152,1.441466926432114,1.7962674170081068,3.129023327303985,97.98671076129783,98.0,2.0
2026,166027,Harvard University,97.0,98.0,97,98,98,94.0,97.0,96.0,95.0,97.0,98.0,98.0,98.0,15.92279855247285,15.0,17.0,18.0,95.0,96.0,96,95,4.8,4.7,1550.0,1500.0,1580.0,1510.0,1580.0,52.0,52.0,54.0,35.0,34.0,36.0,34.0,36.0,22.0,22.0,19.0,93.0,7,85,135443,23,2.18,28.9,72.8,147158,228421,111.574,14809.0,97.5,109.92279855247286,112.0,113.0,113.0,111.98069963811821,0.9792746113989638,0.9690721649484536,0.9897959183673469,0.9795918367346939,0.9693877551020408,0.9690721649484536,0.9897959183673469,0.9795918367346939,0.9693877551020408,1.1283001504731822,1.139795918367347,1.1495918367346938,1.1493877551020408,1.1417689151693158,0.4780600461893764,0.9699769053117783,0.10112359550561797,1.0,23.0,2.18,28.9,72.8,204726.01143635614,1540.0,1540.0,99.0,99.0,35.0,35.0,99.0,99.0,0.7027027027027027,0.7397260273972602,0.2972972972972973,0.2602739726027397,73.0,1.46,74.0,1.48,100.46,97.5,98.0,0.9792746113989638,0.4780600461893764,1.020970394736842,4.75,204726.01143635614,85,100.46,0.9699769053117783,0.10112359550561797,23.0,2.18,28.9,72.8,1.9961983382203123,1.679837441170638,1.7536473508402426,-0.0758281062643199,0.16503252832892829,2.7854513716327465,3.3975885580884615,1.2961008893521797,1.7745096790394634,1.2907181442772027,1.6243008064454145,1.3778836315519334,1.245786159840274,2.1702852803427994,1.8212810937212662,2.1197693382620977,1.4195314323570973,1.756123204947746,3.0888791152436244,96.72957750135247,97.0,3.0
2026,243744,Stanford University,96.0,95.0,93,92,98,92.0,90.0,89.0,88.0,96.0,96.0,93.0,93.0,13.84525887143688,14.000000000000002,16.0,18.0,95.0,95.0,96,96,4.8,4.8,1550.0,1510.0,1580.0,1510.0,1580.0,47.0,47.0,50.0,35.0,34.0,35.0,34.0,35.0,22.0,22.0,19.0,92.0,6,78,235121,23,2.33,28.6,70.7,80876,224596,112.867,12844.0,94.0,105.84525887143688,104.0,105.0,106.0,105.21131471785922,0.9196891191709845,0.9583333333333334,0.9375,0.956989247311828,0.946236559139785,0.9583333333333334,0.9375,0.956989247311828,0.946236559139785,1.096785922047702,1.0775000000000001,1.116989247311828,1.126236559139785,1.1043779321248288,0.3233256351039261,0.9930715935334873,0.0449438202247191,1.0,23.0,2.33,28.6,70.7,198991.7336333915,1540.0,1540.0,99.0,99.0,34.0,34.0,99.0,99.0,0.6811594202898551,0.7246376811594203,0.3188405797101449,0.2753623188405797,69.0,1.3800000000000001,69.0,1.3800000000000001,100.38,94.0,98.0,0.9196891191709845,0.3233256351039261,0.9844024122807018,4.8,198991.7336333915,78,100.38,0.9930715935334873,0.0449438202247191,23.0,2.33,28.6,70.7,1.7768361479621066,1.679837441170638,1.5356263288438883,-0.6106158030758386,-0.17399774632327122,2.8529718081435047,3.203693724369772,0.9221640895561757,1.9994329269083673,1.285593704640369,1.7041190278923637,1.571951748671924,1.0735978816967455,2.1702852803427994,2.0268263802068383,2.0861665634886415,1.3427572030945398,1.6559297510957174,2.988685661391596,93.59197641761968,94.0,4.0
2026,130794,Yale University,97.0,98.0,96,96,99,93.0,93.0,93.0,95.0,98.0,99.0,97.0,96.0,16.59324522760646,16.0,16.0,20.0,96.0,96.0,97,96,4.8,4.7,1540.0,1500.0,1580.0,1470.0,1570.0,56.0,56.0,61.0,34.0,33.0,35.0,33.0,35.0,26.0,26.0,25.0,89.0,5,68,244795,20,2.1,26.8,70.3,56265,201115,103.502,10883.0,96.75,109.59324522760646,109.0,109.0,115.0,110.64831130690162,0.9740932642487047,0.9489795918367347,0.9393939393939394,0.9587628865979382,0.9895833333333334,0.9489795918367347,0.9393939393939394,0.9587628865979382,0.9895833333333334,1.1149120441127993,1.0993939393939394,1.1187628865979382,1.1895833333333334,1.1306630508595026,0.4387990762124711,0.9953810623556582,0.028089887640449437,1.0,20.0,2.1,26.8,70.3,194310.25487430193,1540.0,1520.0,99.0,99.0,34.0,34.0,99.0,99.0,0.6829268292682927,0.7093023255813954,0.3170731707317073,0.29069767441860467,86.0,1.72,82.0,1.6400000000000001,100.72,96.75,99.0,0.9740932642487047,0.4387990762124711,1.0052351804123711,4.75,194310.25487430193,68,100.72,0.9953810623556582,0.028089887640449437,20.0,2.1,26.8,70.3,1.949192154593554,1.778504304002964,1.734689001101429,-0.2115205069478396,0.01914769477172931,2.7854513716327465,3.0453974965375665,0.38796866127617,2.2243561747772715,1.307372573096913,1.7121008500370585,1.6301721838079213,0.5570330472661601,1.7414791561647505,1.711656940928961,1.8845499148479008,1.328133540377862,1.6811365054539362,3.0138924157498144,94.38133676753371,94.0,4.0
2026,144050,University of Chicago,96.0,96.0,95,96,99,93.0,92.0,92.0,92.0,96.0,96.0,95.0,96.0,11.4657980456026,10.0,11.0,11.0,97.0,98.0,97,97,4.6,4.6,1550.0,1510.0,1570.0,1510.0,1580.0,46.0,46.0,49.0,35.0,34.0,35.0,34.0,35.0,30.0,30.0,27.0,90.0,5,88,150615,20,2.09,25.2,70.1,35180,226478,102.557,14075.0,95.75,104.4657980456026,102.0,103.0,103.0,103.11644951140065,0.8730569948186528,0.96875,0.9583333333333334,0.968421052631579,0.9583333333333334,0.96875,0.9583333333333334,0.968421052631579,0.9583333333333334,1.083407980456026,1.0583333333333333,1.078421052631579,1.0683333333333334,1.072123924938568,0.22632794457274827,0.9792147806004619,0.07303370786516854,1.0,20.0,2.09,25.2,70.1,220831.34257047297,1540.0,1540.0,99.0,99.0,34.0,34.0,99.0,99.0,0.6052631578947368,0.6447368421052632,0.39473684210526316,0.35526315789473684,76.0,1.52,76.0,1.52,100.52,95.75,99.0,0.8730569948186528,0.22632794457274827,0.984588680833158,4.6,220831.34257047297,88,100.52,0.9792147806004619,0.07303370786516854,20.0,2.09,25.2,70.1,1.8865172430912094,1.778504304002964,1.365001181194567,-0.9458558518233577,-0.17227080722910518,2.5828900621004722,3.9421628897714407,1.4563595178361814,2.2243561747772715,1.2945614740048281,1.656228095024194,1.4749176901119287,0.7292213254096885,1.7414791561647505,1.6979539218299224,1.705335116056132,1.3208217090195231,1.6196431931525206,2.952399103448399,92.45564725488164,92.0,6.0
2026,198419,Duke University,96.0,97.0,96,97,97,95.0,96.0,96.0,96.0,96.0,97.0,96.0,97.0,11.80515759312321,13.0,15.0,12.0,96.0,97.0,96,97,4.5,4.5,1550.0,1520.0,1570.0,1500.0,1570.0,50.0,47.0,48.0,34.0,34.0,35.0,34.0,35.0,31.0,30.0,30.0,93.0,5,95,150695,19,2.01,24.4,68.6,59184,169599,96.638,13244.0,96.5,106.80515759312321,109.0,111.0,108.0,108.7012893982808,0.9533678756476683,0.9895833333333334,0.9896907216494846,1.0,0.9896907216494846,0.9895833333333334,0.9896907216494846,1.0,0.9896907216494846,1.1076349092645654,1.1196907216494845,1.15,1.1096907216494847,1.1217540881408836,0.4110854503464203,0.9815242494226328,0.05337078651685393,1.0,19.0,2.01,24.4,68.6,175499.28599515717,1540.0,1540.0,99.0,99.0,34.0,34.0,99.0,99.0,0.6103896103896104,0.6153846153846154,0.38961038961038963,0.38461538461538464,78.0,1.56,77.0,1.54,100.56,96.5,97.0,0.9533678756476683,0.4110854503464203,1.0,4.5,175499.28599515717,95,100.56,0.9815242494226328,0.05337078651685393,19.0,2.01,24.4,68.6,1.9335234267179677,1.581170578338312,1.6588556021461751,-0.3073033780185594,-0.02938888104808264,2.447849189078956,2.409336634431528,1.8302963176321854,2.2243561747772715,1.2971236938232453,1.6642099171688893,1.5428415311039254,1.245786159840274,1.5985437814387342,1.5883297690376172,1.6157277166602475,1.2659829738319819,1.597032882920246,2.929788793216124,91.74759566906555,92.0,6.0
2026,110404,California Institute of Technology,93.0,94.0,93,94,98,88.0,90.0,93.0,96.0,93.0,95.0,93.0,94.0,10.41666666666666,13.0,12.0,12.0,97.0,97.0,96,96,4.6,4.5,,,,,,,,,,,,,,,,,95.0,3,91,255539,22,2.02,22.6,74.7,23891,217808,115.455,13160.0,93.5,98.41666666666666,103.0,105.0,108.0,103.60416666666666,0.8860103626943006,0.946236559139785,0.9473684210526315,1.0,1.0212765957446808,0.946236559139785,0.9473684210526315,1.0,1.0,1.0504032258064515,1.0773684210526315,1.12,1.12,1.0919429117147708,0.2748267898383372,1.0,0.05056179775280899,1.0,22.0,2.02,22.6,74.7,188651.85570135553,,,,,,,,,,,,,,,,,,93.5,98.0,0.8860103626943006,0.2748267898383372,0.9689379295532646,4.55,188651.85570135553,91,,1.0,0.05056179775280899,22.0,2.02,22.6,74.7,1.7454986922109343,1.679837441170638,1.4123970555416008,-0.7782358274495982,-0.31737256424563276,2.515369625589714,2.8540683694092666,1.6166181463201832,2.674202670515079,,1.7280644943264485,1.5525449369599251,1.5901627161273308,2.0273499056167834,1.6020327881366556,1.414111068019508,1.4889938302613164,1.6028985845715782,2.9356544948674568,91.93128263812898,92.0,6.0
2026,162928,Johns Hopkins University,95.0,94.0,95,94,97,95.0,91.0,94.0,94.0,95.0,95.0,95.0,94.0,12.66568483063328,13.0,15.0,15.0,96.0,97.0,96,96,4.7,4.6,1550.0,1530.0,1580.0,1520.0,1570.0,41.0,41.0,50.0,35.0,34.0,35.0,34.0,36.0,14.0,14.0,18.0,93.0,6,93,162818,20,2.05,22.7,67.8,81356,176378,102.672,13971.0,94.5,107.66568483063328,104.0,109.0,109.0,107.41642120765832,0.9378238341968912,1.0,0.9578947368421052,0.9894736842105263,1.0,1.0,0.9578947368421052,0.9894736842105263,1.0,1.1266568483063328,1.0878947368421052,1.1394736842105262,1.15,1.126006317339741,0.4226327944572748,0.9838337182448037,0.0702247191011236,1.0,20.0,2.05,22.7,67.8,171787.8292036777,1560.0,1540.0,99.0,99.0,34.0,35.0,99.0,99.0,0.7454545454545455,0.7352941176470589,0.2545454545454545,0.2647058823529412,68.0,1.36,55.0,1.1,100.36,94.5,97.0,0.9378238341968912,0.4226327944572748,0.9818513745704467,4.65,171787.8292036777,93,100.36,0.9838337182448037,0.0702247191011236,20.0,2.05,22.7,67.8,1.808173603713279,1.581170578338312,1.601980552929735,-0.26739384840575947,-0.1976490105567642,2.650410498611231,2.283840046689309,1.7234572319761843,1.9994329269083673,1.2843125947311607,1.6721917393135841,1.4846210959679282,1.245786159840274,1.7414791561647505,1.6431418454337698,1.4253119929439932,1.2367356483986267,1.5808242005380313,2.9135801108339097,91.24001381163778,91.0,9.0
2026,147767,Northwestern University,95.0,97.0,96,95,98,92.0,97.0,96.0,94.0,96.0,96.0,96.0,95.0,15.30815109343936,18.0,19.0,21.0,95.0,95.0,95,93,4.4,4.4,1530.0,1490.0,1580.0,1510.0,1570.0,50.0,50.0,46.0,34.0,33.0,35.0,34.0,35.0,29.0,29.0,23.0,90.0,6,90,111192,21,2.11,26.4,70.0,47177,182894,102.557,15888.0,95.75,107.30815109343936,115.0,115.0,115.0,113.07703777335985,0.9818652849740933,0.9583333333333334,1.0104166666666667,1.0,0.9894736842105263,0.9583333333333334,1.0,1.0,0.9894736842105263,1.111414844267727,1.18,1.19,1.1994736842105262,1.1702221321195632,0.5542725173210161,0.9607390300230947,0.14325842696629212,1.0,21.0,2.11,26.4,70.0,178333.99962947433,1540.0,1540.0,99.0,99.0,34.0,34.0,99.0,99.0,0.6329113924050633,0.6666666666666666,0.3670886075949367,0.3333333333333333,69.0,1.3800000000000001,79.0,1.58,100.38,95.75,98.0,0.9818652849740933,0.5542725173210161,1.013271080928127,4.4,178333.99962947433,90,100.38,0.9607390300230947,0.14325842696629212,21.0,2.11,26.4,70.0,1.8865172430912094,1.679837441170638,1.7631265257096493,0.18757478918015943,0.09365039839236511,2.3128083160574406,2.5051876461285656,1.5631986034921825,1.9994329269083673,1.285593704640369,1.592373517866635,1.2323325437119406,0.7292213254096885,1.884414530890767,1.7253599600279987,1.8397462151499588,1.3171657933403538,1.566460857339715,2.8992167676355933,90.79021954412386,91.0,9.0
